,Name,Attribute Vector,Percentiles
54,Jimmy Cabot,"[0.0, 0.05, 0.88, 0.18, 0.37, 0.42, 5.46, 60.94, 75.4, 5.11, 4.58, 2.11, 3.35, 11.45, 3.52, 0.7, 0.88, 2.11, 0.53]","[20, 59, 70, 85, 99, 98, 99, 78, 40, 82, 97, 97, 96, 99, 99, 19, 21, 55, 20]"
55,Liberato Cacace,"[0.0, 0.09, 1.07, 0.0, 0.09, 0.18, 3.53, 65.01, 79.7, 6.29, 3.22, 1.23, 1.84, 4.75, 3.83, 0.61, 2.3, 2.45, 1.07]","[20, 84, 83, 11, 55, 66, 95, 86, 66, 92, 85, 83, 73, 61, 99, 14, 99, 74, 64]"
56,Anthony Caci,"[0.09, 0.03, 0.44, 0.04, 0.12, 0.14, 2.21, 50.47, 71.5, 3.98, 0.89, 0.4, 0.89, 1.82, 2.57, 2.39, 1.24, 1.77, 0.89]","[80, 31, 34, 36, 65, 52, 62, 42, 18, 59, 6, 23, 28, 5, 83, 99, 58, 37, 48]"
57,Davide Calabria,"[0.04, 0.06, 0.78, 0.16, 0.08, 0.14, 1.89, 65.64, 81.4, 5.64, 1.4, 0.21, 0.74, 3.99, 3.62, 1.65, 1.28, 1.89, 0.66]","[56, 64, 64, 82, 38, 48, 43, 87, 74, 88, 22, 5, 16, 42, 99, 95, 62, 43, 32]"
58,Andrea Cambiaso,"[0.0, 0.04, 0.71, 0.12, 0.1, 0.14, 2.28, 63.08, 84.0, 3.44, 2.65, 1.29, 1.66, 4.35, 2.36, 1.08, 1.08, 1.37, 0.12]","[20, 44, 58, 71, 58, 50, 64, 84, 85, 39, 74, 86, 64, 53, 72, 59, 41, 18, 2]"
59,João Cancelo,"[0.1, 0.06, 1.2, 0.32, 0.15, 0.21, 2.88, 84.25, 84.1, 6.72, 4.59, 2.29, 2.97, 8.6, 2.13, 1.2, 0.87, 1.1, 1.49]","[84, 65, 86, 99, 80, 75, 83, 98, 86, 94, 98, 98, 93, 96, 60, 70, 20, 7, 82]"
60,João Cancelo,"[0.1, 0.06, 1.2, 0.32, 0.15, 0.21, 2.88, 84.25, 84.1, 6.72, 4.59, 2.29, 2.97, 8.6, 2.13, 1.2, 0.87, 1.1, 1.49]","[84, 65, 86, 99, 80, 75, 83, 98, 86, 94, 98, 98, 93, 96, 60, 70, 20, 7, 82]"
61,Isaac Carcelen,"[0.0, 0.01, 0.29, 0.04, 0.05, 0.07, 1.76, 39.33, 77.7, 3.48, 1.35, 0.57, 0.49, 2.54, 2.82, 0.78, 1.43, 3.27, 0.86]","[20, 4, 15, 32, 23, 13, 34, 9, 55, 40, 20, 40, 7, 18, 88, 27, 78, 96, 47]"
62,Igor Carioca,"[0.0, 0.04, 0.79, 0.0, 0.1, 0.14, 1.78, 54.08, 81.8, 4.34, 1.58, 1.18, 1.58, 4.54, 3.55, 0.99, 1.38, 3.36, 0.79]","[20, 47, 65, 11, 58, 51, 37, 57, 77, 68, 28, 83, 62, 58, 99, 50, 72, 97, 41]"
63,Carlos,"[0.18, 0.13, 1.23, 0.15, 0.11, 0.24, 1.63, 50.18, 83.2, 2.95, 2.54, 0.96, 2.07, 4.41, 2.13, 0.7, 0.7, 2.48, 1.66]","[95, 93, 88, 79, 60, 85, 25, 40, 81, 20, 69, 70, 80, 55, 59, 19, 6, 75, 88]"
64,Yannick Carrasco,"[0.24, 0.28, 2.71, 0.14, 0.16, 0.44, 3.86, 44.15, 78.7, 3.33, 5.8, 2.36, 6.04, 10.77, 1.46, 0.45, 1.01, 0.69, 0.17]","[98, 99, 99, 77, 83, 99, 96, 20, 62, 35, 99, 98, 99, 99, 20, 2, 34, 1, 3]"
65,Dani Carvajal,"[0.0, 0.03, 0.47, 0.14, 0.13, 0.16, 2.1, 66.39, 85.3, 3.15, 1.15, 0.31, 1.63, 6.17, 1.7, 0.75, 1.32, 2.34, 0.54]","[20, 33, 37, 76, 73, 56, 54, 88, 91, 28, 13, 13, 63, 81, 33, 23, 67, 69, 20]"
66,Matty Cash,"[0.0, 0.01, 0.35, 0.05, 0.03, 0.04, 1.38, 49.75, 77.2, 3.71, 2.08, 0.79, 0.54, 2.82, 2.72, 1.29, 0.99, 2.13, 0.59]","[20, 6, 22, 39, 8, 4, 14, 37, 50, 48, 48, 62, 9, 20, 87, 76, 31, 57, 26]"
67,Timothy Castagne,"[0.06, 0.06, 0.53, 0.08, 0.07, 0.13, 1.41, 50.78, 80.1, 2.93, 1.08, 0.3, 1.44, 4.12, 2.41, 1.19, 1.38, 3.04, 1.52]","[65, 68, 42, 54, 34, 46, 16, 44, 69, 19, 12, 13, 56, 47, 75, 69, 73, 91, 83]"
68,Jonny Castro,"[0.07, 0.02, 0.64, 0.0, 0.07, 0.09, 1.71, 59.38, 84.3, 5.0, 1.71, 1.0, 0.93, 3.28, 2.43, 1.0, 1.86, 2.0, 1.07]","[74, 23, 50, 11, 33, 26, 30, 76, 88, 81, 32, 72, 30, 28, 76, 53, 98, 49, 63]"
69,Zeki Çelik,"[0.0, 0.02, 0.33, 0.05, 0.08, 0.1, 2.06, 51.5, 74.1, 3.6, 1.64, 0.37, 1.03, 4.21, 2.2, 0.89, 1.78, 2.24, 0.84]","[20, 19, 19, 37, 40, 33, 53, 46, 30, 43, 31, 22, 38, 49, 62, 39, 95, 62, 45]"
70,Álex Centelles,"[0.08, 0.03, 0.4, 0.16, 0.1, 0.14, 1.92, 46.24, 71.4, 2.81, 1.36, 0.48, 0.56, 3.85, 1.76, 0.88, 1.04, 3.21, 0.56]","[78, 36, 28, 81, 59, 49, 45, 25, 18, 16, 21, 32, 9, 39, 38, 38, 37, 95, 24]"
71,Fabien Centonze,"[0.0, 0.04, 0.72, 0.0, 0.04, 0.08, 1.88, 50.66, 75.9, 5.25, 2.22, 2.02, 0.67, 6.84, 3.18, 2.36, 1.2, 2.89, 1.73]","[20, 46, 60, 11, 13, 21, 42, 43, 43, 83, 56, 96, 12, 85, 95, 99, 54, 87, 91]"
72,Ben Chilwell,"[0.09, 0.08, 1.01, 0.09, 0.17, 0.25, 2.84, 62.09, 78.1, 2.89, 2.66, 0.64, 2.29, 7.79, 1.51, 1.01, 1.33, 1.42, 1.28]","[81, 79, 80, 58, 87, 90, 81, 83, 57, 17, 74, 49, 83, 91, 23, 54, 68, 19, 74]"
73,Patrick Ciurria,"[0.2, 0.16, 1.63, 0.16, 0.18, 0.33, 2.19, 43.64, 79.5, 2.97, 2.19, 0.59, 1.67, 5.49, 1.01, 0.23, 0.78, 1.05, 0.39]","[97, 98, 98, 81, 88, 95, 60, 19, 65, 22, 54, 43, 66, 75, 2, 1, 11, 5, 12]"
74,Jonathan Clauss,"[0.06, 0.14, 1.59, 0.3, 0.26, 0.4, 3.21, 50.43, 74.7, 4.02, 2.82, 1.17, 3.66, 7.98, 1.56, 1.08, 0.99, 1.26, 0.3]","[67, 95, 97, 97, 97, 98, 90, 42, 34, 59, 79, 82, 98, 92, 26, 60, 31, 14, 7]"
