,Name,Attribute Vector,Percentiles
59,Mike Maignan,"[0.03, 0.93, 71.9, 0.27, 50.0, 35.7, 39.1, 23.5, 4.62, 37.6, 7.0, 1.45, 16.7]","[61, 89, 50, 41, 92, 78, 64, 15, 6, 35, 74, 81, 86]"
60,Giorgi Mamardashvili,"[0.0, 1.18, 70.9, 0.28, 0.0, 18.4, 31.05, 40.8, 6.29, 54.2, 7.7, 1.24, 16.3]","[49, 69, 44, 58, 23, 27, 11, 69, 33, 93, 83, 63, 78]"
61,Steve Mandanda,"[0.0, 0.97, 70.8, 0.28, 0.0, 34.2, 37.39, 31.4, 5.79, 43.2, 8.6, 1.32, 15.9]","[51, 83, 43, 58, 23, 74, 54, 39, 20, 51, 92, 72, 70]"
62,Vito Mannone,"[0.07, 1.34, 72.6, 0.29, 0.0, 29.4, 34.59, 25.9, 6.27, 37.5, 3.5, 0.5, 10.6]","[68, 47, 60, 72, 23, 57, 33, 19, 32, 34, 12, 5, 4]"
63,Agustín Marchesín,"[-0.38, 1.53, 62.5, 0.24, 50.0, 31.6, 35.63, 39.8, 6.89, 42.9, 5.5, 1.32, 18.1]","[4, 34, 10, 12, 92, 66, 42, 66, 47, 49, 40, 70, 92]"
64,Emiliano Martínez,"[0.07, 1.09, 73.6, 0.24, 20.0, 32.4, 42.41, 35.5, 6.08, 40.7, 12.4, 2.09, 16.6]","[67, 78, 64, 12, 61, 69, 85, 54, 27, 41, 99, 97, 85]"
65,Jordi Masip,"[0.15, 1.51, 74.5, 0.27, 42.9, 29.6, 36.8, 36.8, 8.58, 41.9, 3.8, 0.5, 12.7]","[86, 35, 74, 41, 85, 58, 51, 56, 90, 46, 15, 4, 22]"
66,Alex McCarthy,"[-0.85, 2.83, 46.7, 0.34, 0.0, 0.0, 43.5, 48.5, 8.67, 31.0, 6.5, 1.17, 13.5]","[1, 1, 1, 99, 23, 1, 88, 81, 93, 6, 63, 55, 33]"
67,Edouard Mendy,"[-0.21, 1.43, 63.4, 0.34, 10.0, 31.71, 21.4, 6.29, 33.4, 7.4, 1.24, 14.3]","[14, 42, 12, 99, 5, 12, 13, 33, 13, 81, 64, 45]"
68,Alex Meret,"[0.1, 0.73, 75.2, 0.27, 50.0, 45.5, 29.68, 14.6, 6.09, 25.3, 3.9, 1.14, 16.0]","[77, 99, 80, 41, 92, 96, 8, 1, 29, 3, 16, 54, 72]"
69,Illan Meslier,"[-0.36, 1.97, 59.5, 0.32, 0.0, 14.7, 33.0, 39.4, 7.12, 43.5, 7.9, 1.94, 15.8]","[6, 7, 2, 94, 23, 15, 20, 64, 51, 52, 87, 93, 68]"
70,Alexander Meyer,"[-0.31, 1.48, 67.3, 0.26, 0.0, 18.2, 47.39, 19.7, 7.65, 34.8, 7.3, 2.35, 20.1]","[8, 38, 24, 31, 23, 26, 96, 9, 70, 19, 79, 99, 99]"
