,Name,Attribute Vector,Percentiles
28,Charles Aránguiz,"[0.13, 0.05, 0.76, 0.0, 0.04, 0.09, 2.03, 59.11, 84.7, 5.97, 0.38, 0.51, 1.14, 0.89, 2.67, 1.14, 0.89, 0.89, 0.76]","[73, 32, 30, 8, 13, 20, 36, 77, 66, 70, 5, 32, 50, 18, 80, 59, 17, 41, 48]"
29,Stuart Armstrong,"[0.13, 0.15, 1.47, 0.06, 0.14, 0.3, 3.2, 43.21, 78.6, 4.79, 3.9, 1.41, 2.37, 5.63, 2.05, 0.64, 1.15, 0.58, 0.38]","[73, 86, 80, 41, 78, 85, 78, 35, 28, 47, 99, 85, 85, 95, 50, 17, 42, 14, 16]"
30,Maximilian Arnold,"[0.07, 0.03, 0.94, 0.1, 0.16, 0.19, 2.67, 53.41, 77.3, 4.88, 0.94, 0.26, 0.36, 0.62, 2.02, 0.85, 1.11, 2.11, 0.98]","[52, 20, 44, 58, 84, 58, 62, 60, 22, 49, 32, 9, 11, 10, 48, 33, 38, 95, 59]"
31,Tolgay Arslan,"[0.07, 0.16, 1.86, 0.0, 0.12, 0.28, 3.27, 44.96, 80.2, 5.72, 3.34, 1.11, 1.93, 2.75, 2.16, 0.89, 1.41, 0.67, 0.59]","[55, 87, 89, 8, 69, 82, 81, 39, 37, 65, 95, 74, 76, 65, 55, 38, 72, 21, 33]"
32,Santiago Ascacíbar,"[0.0, 0.05, 1.73, 0.0, 0.05, 0.1, 3.09, 53.85, 82.3, 5.08, 0.12, 0.5, 0.5, 0.74, 3.59, 1.61, 1.73, 1.36, 1.24]","[12, 31, 88, 8, 22, 23, 75, 63, 51, 52, 1, 31, 17, 13, 97, 89, 90, 72, 73]"
33,Kristoffer Askildsen,"[0.0, 0.06, 1.24, 0.0, 0.04, 0.11, 1.85, 33.26, 61.3, 2.97, 1.24, 0.37, 0.99, 2.1, 0.87, 1.36, 1.85, 0.74, 2.6]","[12, 42, 67, 8, 12, 28, 28, 12, 1, 8, 43, 21, 43, 52, 2, 75, 95, 29, 96]"
34,Kristjan Asllani,"[0.0, 0.16, 1.5, 0.0, 0.15, 0.31, 3.25, 66.28, 86.8, 3.99, 0.75, 0.37, 0.37, 1.0, 1.87, 1.0, 0.37, 1.12, 0.0]","[12, 87, 81, 8, 81, 87, 80, 88, 83, 29, 21, 22, 12, 21, 40, 47, 1, 55, 1]"
35,Mathias Autret,"[0.07, 0.12, 1.6, 0.14, 0.14, 0.26, 3.77, 41.65, 75.5, 5.37, 1.4, 0.7, 1.67, 4.05, 1.53, 0.84, 0.98, 0.91, 0.35]","[53, 76, 85, 75, 78, 77, 90, 33, 14, 60, 54, 46, 68, 83, 19, 33, 27, 42, 12]"
36,Iddrisu Baba,"[0.0, 0.03, 0.63, 0.0, 0.01, 0.04, 0.69, 30.83, 81.5, 2.48, 0.16, 0.58, 0.42, 0.42, 1.64, 0.58, 0.95, 2.06, 1.95]","[12, 20, 22, 8, 1, 4, 1, 7, 44, 4, 1, 37, 14, 3, 25, 14, 24, 95, 90]"
37,Alex Baena,"[0.28, 0.18, 2.87, 0.09, 0.24, 0.42, 3.65, 39.71, 79.3, 5.73, 2.31, 1.25, 3.05, 5.08, 1.39, 0.32, 0.69, 0.74, 0.05]","[98, 90, 99, 55, 97, 97, 88, 24, 32, 66, 82, 80, 95, 93, 12, 2, 5, 29, 1]"
38,Stefan Bajcetic,"[0.14, 0.11, 1.13, 0.0, 0.06, 0.17, 1.98, 47.34, 77.8, 4.25, 1.42, 1.13, 0.71, 0.28, 2.13, 1.42, 0.99, 0.57, 1.28]","[77, 74, 60, 8, 29, 52, 35, 44, 23, 34, 55, 75, 32, 1, 54, 78, 27, 13, 75]"
39,Carlos Baleba,"[0.0, 0.09, 2.26, 0.0, 0.02, 0.11, 2.07, 56.49, 83.0, 6.21, 3.01, 2.82, 0.94, 2.26, 2.45, 0.19, 2.45, 0.56, 1.32]","[12, 65, 95, 8, 2, 29, 37, 70, 56, 73, 91, 99, 41, 56, 72, 1, 99, 13, 77]"
40,Filippo Bandinelli,"[0.08, 0.07, 0.95, 0.0, 0.1, 0.18, 2.43, 41.72, 73.7, 4.02, 1.59, 0.6, 1.15, 3.54, 2.19, 0.72, 0.8, 1.59, 0.4]","[57, 45, 45, 8, 62, 54, 54, 33, 10, 29, 64, 38, 50, 77, 57, 22, 10, 83, 16]"
41,Shandon Baptiste,"[0.0, 0.06, 0.58, 0.15, 0.16, 0.2, 2.62, 42.96, 83.7, 5.68, 1.17, 0.87, 1.02, 3.35, 2.18, 1.02, 1.46, 1.46, 0.87]","[12, 38, 19, 78, 84, 64, 60, 34, 60, 64, 41, 60, 45, 74, 56, 48, 75, 77, 53]"
42,Antonín Barák,"[0.1, 0.13, 1.58, 0.0, 0.08, 0.2, 2.17, 36.17, 82.0, 4.14, 2.22, 0.99, 3.31, 4.64, 1.04, 0.15, 0.79, 0.64, 0.89]","[64, 79, 84, 8, 46, 63, 44, 17, 49, 32, 81, 67, 97, 89, 3, 1, 9, 20, 53]"
43,Antonín Barák,"[0.1, 0.13, 1.58, 0.0, 0.08, 0.2, 2.17, 36.17, 82.0, 4.14, 2.22, 0.99, 3.31, 4.64, 1.04, 0.15, 0.79, 0.64, 0.89]","[64, 79, 84, 8, 46, 63, 44, 17, 49, 32, 81, 67, 97, 89, 3, 1, 9, 20, 53]"
44,Keidi Bare,"[0.0, 0.11, 0.89, 0.18, 0.04, 0.14, 1.97, 47.77, 82.8, 5.01, 1.07, 0.36, 0.89, 1.97, 2.68, 1.97, 1.43, 1.43, 0.89]","[12, 71, 38, 83, 12, 41, 34, 47, 54, 51, 38, 19, 40, 50, 81, 98, 74, 76, 53]"
45,Nicolò Barella,"[0.22, 0.11, 1.32, 0.15, 0.16, 0.27, 3.65, 50.14, 81.1, 6.62, 2.8, 1.2, 1.92, 4.97, 1.8, 0.35, 1.07, 0.57, 0.57]","[92, 74, 72, 79, 83, 80, 88, 52, 42, 81, 89, 78, 75, 92, 36, 4, 33, 14, 31]"
46,Ross Barkley,"[0.38, 0.4, 3.56, 0.19, 0.23, 0.63, 4.78, 46.59, 78.7, 4.5, 2.81, 1.13, 2.44, 4.31, 1.5, 0.75, 0.66, 0.56, 0.38]","[99, 99, 99, 86, 95, 99, 98, 43, 28, 39, 90, 75, 86, 87, 17, 24, 3, 13, 15]"
