,Name,Attribute Vector,Percentiles
42,Sergio Camello,"[0.22, 0.27, 2.85, 0.19, 0.09, 0.36, 2.32, 19.6, 78.0, 1.57, 1.5, 0.67, 3.79, 4.57, 0.6, 0.08, 0.34, 0.97, 1.01]","[20, 28, 67, 76, 34, 23, 48, 30, 89, 41, 55, 35, 13, 18, 45, 16, 10, 73, 25]"
43,Thomas Cannon,"[0.43, 0.27, 2.42, 0.05, 0.13, 0.4, 1.94, 13.82, 64.2, 1.02, 1.94, 1.24, 3.98, 5.59, 0.65, 0.27, 0.81, 0.05, 1.83]","[68, 21, 39, 26, 75, 35, 26, 8, 27, 13, 87, 87, 28, 56, 53, 69, 74, 2, 43]"
44,Francesco Caputo,"[0.13, 0.25, 1.9, 0.13, 0.09, 0.34, 1.86, 18.28, 70.8, 1.03, 0.71, 0.13, 4.88, 6.55, 0.16, 0.1, 0.22, 0.35, 0.74]","[7, 18, 13, 56, 33, 18, 18, 23, 61, 12, 15, 2, 57, 63, 3, 21, 3, 16, 17]"
45,Francesco Caputo,"[0.13, 0.25, 1.9, 0.13, 0.09, 0.34, 1.86, 18.28, 70.8, 1.03, 0.71, 0.13, 4.88, 6.55, 0.16, 0.1, 0.22, 0.35, 0.74]","[7, 18, 13, 56, 33, 18, 18, 23, 61, 12, 15, 2, 57, 63, 3, 21, 3, 16, 17]"
46,Irvin Cardona,"[0.16, 0.34, 2.12, 0.0, 0.07, 0.41, 1.31, 21.56, 53.0, 1.14, 1.96, 0.82, 4.57, 5.06, 0.49, 0.98, 0.98, 1.63, 0.98]","[11, 49, 25, 6, 17, 38, 1, 50, 2, 15, 74, 46, 40, 27, 35, 99, 86, 96, 23]"
47,Irvin Cardona,"[0.16, 0.34, 2.12, 0.0, 0.07, 0.41, 1.31, 21.56, 53.0, 1.14, 1.96, 0.82, 4.57, 5.06, 0.49, 0.98, 0.98, 1.63, 0.98]","[11, 49, 25, 6, 17, 38, 1, 50, 2, 15, 74, 46, 40, 27, 35, 99, 86, 96, 23]"
48,Valentín Castellanos,"[0.42, 0.35, 2.95, 0.0, 0.06, 0.41, 1.42, 13.76, 61.5, 1.18, 1.04, 0.49, 4.26, 4.44, 0.42, 0.21, 0.76, 0.9, 1.77]","[68, 50, 73, 6, 11, 40, 2, 4, 16, 18, 33, 17, 27, 13, 25, 58, 72, 62, 45]"
49,Edinson Cavani,"[0.19, 0.22, 1.93, 0.12, 0.11, 0.33, 1.49, 21.99, 74.3, 1.24, 0.5, 0.25, 3.35, 3.29, 0.43, 0.12, 0.62, 0.68, 1.24]","[13, 12, 15, 55, 41, 16, 4, 52, 75, 21, 6, 6, 5, 1, 28, 30, 47, 45, 30]"
50,Assan Ceesay,"[0.25, 0.21, 2.04, 0.0, 0.04, 0.25, 1.84, 19.57, 57.4, 0.79, 1.04, 1.09, 3.53, 5.51, 1.14, 0.15, 0.75, 1.19, 3.13]","[27, 9, 21, 6, 4, 3, 17, 30, 7, 5, 33, 71, 8, 40, 91, 42, 68, 87, 79]"
51,Daniel Ciofani,"[0.42, 0.2, 2.38, 0.0, 0.06, 0.25, 2.04, 16.56, 61.5, 0.85, 0.42, 0.0, 4.33, 3.06, 0.51, 0.17, 0.59, 0.85, 2.97]","[68, 5, 38, 6, 12, 2, 31, 14, 16, 5, 5, 1, 29, 1, 37, 48, 43, 56, 76]"
52,Lorenzo Colombo,"[0.24, 0.27, 2.55, 0.12, 0.08, 0.36, 2.55, 19.72, 62.7, 1.25, 0.83, 0.65, 4.4, 7.07, 1.01, 0.12, 1.31, 0.42, 2.44]","[23, 27, 49, 50, 24, 24, 63, 33, 21, 22, 21, 32, 33, 76, 84, 29, 98, 21, 66]"
53,Ángel Correa,"[0.46, 0.41, 2.64, 0.05, 0.2, 0.61, 3.76, 32.24, 78.5, 3.66, 2.59, 1.37, 7.17, 8.64, 0.71, 0.51, 1.32, 0.31, 0.31]","[74, 63, 56, 20, 91, 80, 92, 92, 90, 93, 87, 83, 95, 92, 63, 97, 98, 14, 3]"
54,Joaquín Correa,"[0.29, 0.29, 1.94, 0.22, 0.14, 0.44, 3.23, 26.99, 79.8, 3.16, 1.58, 1.58, 3.73, 5.53, 1.0, 0.22, 0.36, 0.07, 0.36]","[39, 37, 16, 87, 68, 44, 86, 82, 92, 89, 59, 91, 12, 41, 83, 62, 12, 3, 3]"
55,Diego Costa,"[0.07, 0.23, 2.03, 0.0, 0.05, 0.28, 1.67, 16.03, 71.5, 0.94, 1.38, 0.36, 4.28, 4.35, 0.22, 0.15, 0.44, 1.23, 2.18]","[3, 13, 20, 6, 8, 6, 12, 12, 62, 10, 50, 8, 27, 10, 5, 39, 20, 88, 59]"
56,Nuno da Costa,"[0.22, 0.2, 1.75, 0.18, 0.17, 0.37, 2.34, 17.12, 68.5, 1.44, 1.35, 2.07, 3.5, 5.84, 2.02, 0.9, 0.94, 0.67, 2.02]","[20, 5, 8, 71, 80, 25, 50, 15, 50, 29, 50, 94, 8, 47, 99, 99, 84, 43, 53]"
57,Matheus Cunha,"[0.12, 0.25, 2.64, 0.12, 0.11, 0.36, 2.7, 21.64, 73.6, 1.48, 1.6, 2.21, 4.73, 4.55, 0.8, 0.74, 1.41, 0.86, 0.61]","[5, 17, 55, 53, 47, 22, 69, 50, 71, 32, 61, 96, 47, 15, 74, 99, 99, 56, 12]"
58,Matheus Cunha,"[0.12, 0.25, 2.64, 0.12, 0.11, 0.36, 2.7, 21.64, 73.6, 1.48, 1.6, 2.21, 4.73, 4.55, 0.8, 0.74, 1.41, 0.86, 0.61]","[5, 17, 55, 53, 47, 22, 69, 50, 71, 32, 61, 96, 47, 15, 74, 99, 99, 56, 12]"
59,Moanes Dabbur,"[0.58, 0.34, 2.12, 0.19, 0.21, 0.55, 3.67, 27.68, 71.1, 3.18, 0.96, 1.25, 4.05, 5.88, 1.06, 0.48, 0.77, 0.0, 0.68]","[89, 47, 24, 77, 92, 67, 91, 84, 61, 89, 29, 78, 20, 49, 87, 96, 72, 2, 14]"
60,Patson Daka,"[0.3, 0.27, 2.27, 0.3, 0.21, 0.48, 2.12, 22.37, 66.1, 1.29, 1.36, 0.53, 4.4, 6.22, 1.06, 0.53, 1.06, 0.53, 1.97]","[41, 23, 32, 96, 92, 53, 36, 55, 33, 23, 50, 20, 33, 53, 87, 97, 92, 36, 51]"
61,Thijs Dallinga,"[0.46, 0.37, 2.33, 0.04, 0.08, 0.46, 1.61, 19.97, 62.6, 1.15, 0.88, 0.38, 4.21, 6.66, 0.31, 0.11, 0.65, 0.77, 2.14]","[75, 56, 36, 14, 22, 51, 8, 36, 20, 15, 25, 10, 24, 65, 11, 27, 54, 51, 59]"
62,Arnaut Danjuma,"[0.27, 0.37, 2.33, 0.0, 0.05, 0.42, 2.33, 20.93, 72.5, 0.82, 2.33, 0.82, 4.24, 7.39, 0.68, 0.0, 0.14, 0.14, 0.14]","[35, 54, 35, 6, 8, 42, 50, 42, 66, 5, 84, 47, 26, 80, 59, 2, 1, 4, 2]"
63,Arnaut Danjuma,"[0.27, 0.37, 2.33, 0.0, 0.05, 0.42, 2.33, 20.93, 72.5, 0.82, 2.33, 0.82, 4.24, 7.39, 0.68, 0.0, 0.14, 0.14, 0.14]","[35, 54, 35, 6, 8, 42, 50, 42, 66, 5, 84, 47, 26, 80, 59, 2, 1, 4, 2]"
64,Jonathan David,"[0.4, 0.43, 2.7, 0.11, 0.17, 0.6, 3.3, 24.87, 81.8, 2.7, 1.9, 0.82, 6.08, 8.44, 0.68, 0.23, 0.57, 0.37, 0.45]","[61, 73, 60, 47, 82, 80, 88, 70, 97, 82, 73, 48, 85, 90, 58, 66, 36, 18, 4]"
65,Grégoire Defrel,"[0.15, 0.27, 1.23, 0.08, 0.04, 0.31, 1.23, 19.28, 84.4, 0.77, 0.85, 0.54, 2.62, 5.78, 0.69, 0.15, 0.85, 0.39, 0.46]","[10, 24, 1, 34, 4, 11, 1, 29, 98, 5, 22, 21, 1, 47, 60, 44, 77, 20, 5]"
66,Andy Delort,"[0.21, 0.39, 2.85, 0.07, 0.15, 0.54, 2.36, 26.27, 57.7, 1.95, 0.63, 0.7, 4.93, 6.53, 0.49, 0.07, 0.21, 0.63, 2.92]","[17, 61, 68, 32, 70, 65, 50, 80, 9, 66, 10, 37, 59, 62, 35, 14, 2, 41, 74]"
67,Andy Delort,"[0.21, 0.39, 2.85, 0.07, 0.15, 0.54, 2.36, 26.27, 57.7, 1.95, 0.63, 0.7, 4.93, 6.53, 0.49, 0.07, 0.21, 0.63, 2.92]","[17, 61, 68, 32, 70, 65, 50, 80, 9, 66, 10, 37, 59, 62, 35, 14, 2, 41, 74]"
68,Moussa Dembélé,"[0.31, 0.39, 2.87, 0.0, 0.03, 0.42, 1.44, 19.6, 72.3, 2.36, 1.03, 0.41, 5.13, 6.77, 0.82, 0.21, 0.51, 0.62, 2.98]","[41, 61, 68, 6, 1, 41, 3, 30, 65, 74, 31, 12, 65, 67, 75, 57, 30, 41, 76]"
69,Cyriel Dessers,"[0.34, 0.36, 2.78, 0.06, 0.09, 0.45, 2.5, 15.88, 64.3, 1.53, 1.19, 0.74, 6.52, 6.24, 0.62, 0.17, 0.79, 0.28, 0.91]","[50, 54, 66, 23, 35, 48, 59, 11, 27, 36, 42, 39, 92, 55, 48, 48, 74, 13, 21]"
70,Mattia Destro,"[0.16, 0.22, 3.15, 0.0, 0.06, 0.28, 1.73, 12.43, 55.7, 0.63, 0.63, 0.63, 4.09, 3.15, 0.16, 0.16, 0.31, 0.79, 1.26]","[10, 11, 80, 6, 14, 6, 14, 1, 5, 2, 11, 30, 22, 1, 2, 44, 7, 52, 30]"
71,Gerard Deulofeu,"[0.15, 0.38, 3.27, 0.45, 0.33, 0.71, 6.09, 43.7, 75.3, 6.09, 5.35, 1.49, 6.09, 8.77, 0.59, 0.15, 0.59, 0.07, 0.07]","[10, 56, 83, 98, 98, 88, 99, 97, 80, 98, 99, 87, 85, 93, 44, 41, 43, 3, 1]"
72,Ángel Di María,"[0.26, 0.17, 2.58, 0.31, 0.35, 0.53, 5.64, 46.88, 72.8, 6.17, 3.5, 2.36, 3.45, 6.47, 0.74, 0.44, 0.92, 0.0, 0.09]","[30, 3, 50, 97, 98, 64, 99, 98, 67, 99, 96, 97, 7, 61, 67, 92, 83, 2, 1]"
73,Boulaye Dia,"[0.54, 0.29, 1.68, 0.21, 0.11, 0.4, 2.29, 21.05, 76.2, 1.79, 1.72, 1.25, 2.68, 5.0, 0.43, 0.25, 0.36, 0.97, 0.71]","[85, 33, 6, 86, 48, 33, 47, 43, 83, 58, 66, 78, 1, 25, 27, 73, 12, 70, 14]"
74,Habib Diallo,"[0.53, 0.45, 2.81, 0.03, 0.11, 0.56, 1.97, 18.66, 66.5, 1.28, 1.25, 0.91, 6.0, 6.35, 0.56, 0.38, 0.59, 0.81, 4.22]","[83, 79, 67, 12, 45, 70, 24, 28, 37, 23, 47, 56, 83, 57, 42, 86, 42, 55, 89]"
75,Bamba Dieng,"[0.29, 0.55, 3.06, 0.0, 0.07, 0.61, 1.72, 17.6, 72.3, 0.77, 0.86, 1.05, 4.88, 6.79, 2.2, 0.19, 1.05, 0.57, 1.72]","[39, 90, 77, 6, 17, 81, 14, 18, 65, 5, 23, 67, 56, 68, 99, 54, 92, 36, 44]"
76,Bamba Dieng,"[0.29, 0.55, 3.06, 0.0, 0.07, 0.61, 1.72, 17.6, 72.3, 0.77, 0.86, 1.05, 4.88, 6.79, 2.2, 0.19, 1.05, 0.57, 1.72]","[39, 90, 77, 6, 17, 81, 14, 18, 65, 5, 23, 67, 56, 68, 99, 54, 92, 36, 44]"
